subject,body,is_phishing
Your Monthly Invoice,Reminder: Submit your timesheet by end of day Friday.,0
Meeting Reminder,Please review the updated HR policy document.,0
Wrong speech region,Click here to update. http://secure-update.xyz/login,1
Ever save kind learn,Confirm your identity. http://alert-now.cf,1
Only before woman,Security alert. http://doc-share.xyz/file.pdf,1
While actually,Verify your account. http://login-security.xyz,1
Court important today,Banking issue. http://password-reset.tk,1
Meeting Reminder,Your support ticket has been resolved.,0
Director goal pay respond yet,Suspended account. http://doc-share.xyz/file.pdf,1
Team Outing,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Thought range lawyer two,Security alert. http://confirm-user.ga,1
Too forget others area,Document shared with you. http://secure-access.ml,1
Financial thank here often in,Security alert. http://confirm-user.ga,1
Team Outing,Reminder: Submit your timesheet by end of day Friday.,0
Bag technology tree eight director,Banking issue. http://password-reset.tk,1
Meeting Reminder,Thank you for your order #12345.,0
Support Ticket Response,"Dear customer, please find your invoice attached.",0
Order Confirmation,Your package will arrive tomorrow. Track here: https://legit-tracking.com,0
Speak situation,Banking issue. http://secure-access.ml,1
Your Monthly Invoice,Thanks for subscribing to our newsletter!,0
Team Outing,"Hi team, don't forget our meeting today at 2 PM.",0
Marriage pressure himself take,Suspended account. http://bank-secure.gq,1
Support Ticket Response,Thank you for your order #12345.,0
Newsletter Subscription,"Hi team, don't forget our meeting today at 2 PM.",0
Team Outing,Here is the latest status update on Project Apollo.,0
HR Policy Update,Please review the updated HR policy document.,0
Success city model hour,Password expires. http://alert-now.cf,1
Election quickly away smile,Click here to update. http://alert-now.cf,1
Character fund,Password expires. http://password-reset.tk,1
HR Policy Update,Here is the latest status update on Project Apollo.,0
Project Status,"Dear customer, please find your invoice attached.",0
Project Status,Thank you for your order #12345.,0
Summer open receive money necessary,Confirm your identity. http://alert-now.cf,1
Expert enter,Urgent action required. http://secure-update.xyz/login,1
Assume range we wife,Verify your account. http://password-reset.tk,1
Project Status,Thank you for your order #12345.,0
Meeting Reminder,Looking forward to our team outing next Friday!,0
Up alone a,Security alert. http://confirm-user.ga,1
Plan perhaps unit,Reset your password. http://bank-secure.gq,1
Team Outing,"Hi team, don't forget our meeting today at 2 PM.",0
Democratic follow tough,Confirm your identity. http://secure-update.xyz/login,1
Team Outing,"Dear customer, please find your invoice attached.",0
Package Delivery,Your support ticket has been resolved.,0
Enter indeed too,Confirm your identity. http://alert-now.cf,1
